Authors,Author Full Names,Article Title,Source Title,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Researcher Ids,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Volume,Issue,WoS Categories,Web of Science Index,Research Areas
"Al-Ganad, A; Al-Shahdhi, A; Al-Dhaifi, O; Hajeb, E; Hajeb, H; Al-Motarreb, A","Al-Ganad, Abdulelah; Al-Shahdhi, Ahmed; Al-Dhaifi, Othman; Hajeb, Esam; Hajeb, Huwaida; Al-Motarreb, Ahmed",Deploying medical AI in low-resource settings: a scoping review of challenges and strategies,FRONTIERS IN DIGITAL HEALTH,ethical; governance; infrastructure; LMICs; low-resource setting; medical AI; sustainability,,"Background Artificial intelligence (AI) is increasingly used to enhance diagnostic accuracy, clinical decision-making, and health system efficiency. However, its sustainable and equitable deployment in low-resource settings (LRS) remains limited. In many low- and middle-income countries (LMICs), digital health efforts are still held back by weak infrastructure, fragmented health data, limited local skills, and gaps in governance. Bringing together lessons from existing evidence and practical, real-world solutions is essential for supporting digital health approaches that are fair, workable, and sustainable over time.Methods Following the PRISMA-ScR framework, a scoping review was conducted of peer-reviewed literature published between January 2015 and January 2026. Searches were performed across PubMed, Scopus, Web of Science, IEEE Xplore, and Google Scholar. Eligible studies examined medical AI deployment, implementation barriers, or enabling strategies within LMIC healthcare settings. Data were extracted and analyzed thematically across four domains: digital infrastructure and connectivity, data quality and local capacity, ethics and governance, and policy and sustainability, guided by a human-centered implementation perspective and JBI methodological guidance.Results A total of 44 studies met the inclusion criteria. The analysis showed that making AI work in low-resource settings is less about advanced technology and more about having the right systems in place. Common problems included unreliable electricity and internet access, messy or incomplete data, limited familiarity with AI among healthcare workers, and a lack of clear rules to guide its use. Reported enabling strategies focused on investments in resilient digital infrastructure, adoption of interoperable data standards (e.g., HL7/FHIR), continuous capacity-building programs, fairness and bias auditing mechanisms, and integration of AI governance within national digital health and e-health policies supported by sustainable financing models.Conclusions Sustainable and equitable deployment of medical AI in LMICs requires embedding human-centered values-transparency, accountability, privacy, and equity throughout the AI lifecycle. Aligned with the WHO (2021) and UNESCO (2021) AI ethics frameworks, this review underscores that meaningful innovation in digital health depends on augmenting, rather than replacing, human judgment through context-aware and trustworthy AI systems. However, this scoping review is limited by the inclusion of English-language studies and by the heterogeneity of studies, which precluded quantitative synthesis.","[Al-Ganad, Abdulelah; Al-Shahdhi, Ahmed; Al-Dhaifi, Othman; Hajeb, Esam] Al Razi Univ, Fac Med Sci, Sanaa, Yemen; [Hajeb, Huwaida] Dar Al Salam Int Univ, Fac Med, Sanaa, Yemen; [Al-Motarreb, Ahmed] Sanaa Univ, Fac Med, Sanaa, Yemen",,"Alganad, Abdulelah/OHR-9673-2025; Al-Ganad, Abdulelah/OHR-9673-2025",13,0,0,0,0,8.0,,Health Care Sciences & Services; Medical Informatics,Emerging Sources Citation Index (ESCI),Health Care Sciences & Services; Medical Informatics
"Ab Razak, N; Yusoff, MM; Soh, K; Nasharuddin, N; Rahmat, OK","Ab Razak, Ni; Yusoff, M. F. Muhammad; Soh, Kl; Nasharuddin, Na; Rahmat, O. k.",A Bibliometric Analysis of Chatbot or ChatGPT in Nursing Fields from 2022 to 2024,IIUM MEDICAL JOURNAL MALAYSIA,Chatbot; Intelligence; Nursing; Education; ChatGPT; Generative Artificial,,"Nursing education has undergone a significant transformation as a result of artificial intelligence (AI). Chatbots, specifically ChatGPT, have emerged as vital AI technologies within the nursing domain as it is a computer program designed to simulate human conversation through text or voice interactions. This study aims to conduct a bibliometric analysis to gain insights into the publication trends, citation impact, and thematic evolution in nursing education and practice concerning ChatGPT and chatbots. A comprehensive bibliometric analysis was performed using VOSViewer, concentrating on citation networks for data analysis and visualisation. A review of LENS.org identified 344 relevant research publications regarding chatbots and ChatGPT within the nursing discipline, all of which were utilised in the study. The study examined various aspects, including types of publications, prominent authors, leading journals, participating nations, institutions, and the impact of ChatGPT on nursing practice. The primary objectives included categorising the papers, identifying the most influential authors, delineating the prominent areas and institutions in the field, and examining the impact of ChatGPT on nursing education and practice. The findings indicate that ChatGPT positively impacts nursing education by enhancing learning experiences, improving communication, and aiding clinical decision-making. The findings indicate that journal articles accounted for 76% of publications, with the U.S. leading in research output. The findings indicate that ChatGPT positively impacts nursing education by enhancing learning experiences, improving communication, and aiding clinical decision-making. Future research should focus on establishing frameworks for integrating ChatGPT into nursing education, addressing ethical implications, and assessing the long-term impacts on patient care.","[Ab Razak, Ni] Univ Putra Malaysia, Fac Med & Hlth Sci, Dept Human Anat, Human Physiol Unit, Serdang 43400, Selangor, Malaysia; [Yusoff, M. F. Muhammad] Univ Sains Islam Malaysia, Fac Quran & Sunnah Studies, Nilai, Malaysia; [Soh, Kl; Rahmat, O. k.] Univ Putra Malaysia, Fac Comp Sci & Informat Technol, Dept Multimedia, Serdang, Malaysia; [Nasharuddin, Na] Univ Putra Malaysia, Fac Med & Hlth Sci, Dept Nursing, Serdang, Malaysia",Universiti Putra Malaysia; Universiti Sains Islam Malaysia; Universiti Putra Malaysia; Universiti Putra Malaysia,,47,0,0,1,1,25.0,2,"Medicine, General & Internal",Emerging Sources Citation Index (ESCI),General & Internal Medicine
"Yadav, M","Yadav, Menka",Kidney Support Therapy: Recent Advances,INDIAN JOURNAL OF PEDIATRICS,Acute kidney injury; Dialysis; Child; Technology,RENAL REPLACEMENT THERAPY; NEWCASTLE INFANT DIALYSIS; ULTRAFILTRATION SYSTEM; PERITONEAL-DIALYSIS; GUIDELINES; EVOLUTION; FUTURE; UPDATE,"Acute kidney injury (AKI) in children remains a significant challenge, independently associated with increased morbidity and mortality. Historically, kidney support therapy (KST) for this vulnerable population was fraught with difficulties due to small patient size, required extracorporeal volumes, and the risk of hemodynamic instability. However, the last few decades have seen dramatic advances in technology and therapeutic strategies, transforming the landscape of pediatric KST. The introduction of neonatal-specific continuous KST machines, such as the CARPEDIEM, NIDUS, and the Aquadex system, marks a revolutionary step. These devices are designed with minimal extracorporeal volumes, enabling precise fluid balance control and highly efficient solute clearance. Hybrid therapies are increasingly being used to leverage advantages of intermittent and continuous modalities. Peritoneal dialysis (PD) remains an accessible and safe first-line treatment, particularly for hemodynamically unstable neonates or in resource-limited settings. Use of closed system, automated cyclers, and continuous flow PD have enhanced safety of PD in AKI. Advances in precision KST using artificial intelligence, regenerative therapies, and multidisciplinary collaborations constitute an emerging space to watch in coming years. Future research needs to prioritize trials to further refine and standardize KST for children with AKI, ultimately improving lifelong outcomes.","[Yadav, Menka] All India Inst Med Sci, Dept Pediat, Div Nephrol, New Delhi, India",All India Institute of Medical Sciences (AIIMS) New Delhi,,43,1,1,0,0,93.0,5,Pediatrics,Science Citation Index Expanded (SCI-EXPANDED),Pediatrics
"Ece, G; Aktas, A; Özyurt, ÖK; Demirbakan, H; Aliskan, HE; Saglik, I; Zorbozan, O; Duran, AÇ; Ugur, AR; Öcal, D; Uzunoglu, E; Kaya, E; Sarigüzel, FM; Bayindir, F; Yetkin, G; Altindis, M; Aktas, SY; Atik, TK","Ece, Gulfem; Aktas, Ahmet; Koyuncu Ozyurt, Ozlem; Demirbakan, Hadiye; Aliskan, Hikmet Eda; Saglik, Imran; Zorbozan, Orcun; Cetin Duran, Alev; Ugur, Ayse Ruveyda; Ocal, Duygu; Uzunoglu, Emel; Kaya, Esra; Mutlu Sariguzel, Fatma; Bayindir, Fulya; Yetkin, Gulay; Altindis, Mustafa; Yenice Aktas, Sevinc; Kula Atik, Tuba",Basic Microbiome Analysis: Analytical Steps from Sampling to Sequencing,MICROORGANISMS,metagenomics; human microbiome; bioinformatics pipelines; shotgun metagenomics; machine learning; computational microbiology,1ST 6 MONTHS; DNA EXTRACTION; GUT MICROBIOTA; COLLECTION; RESOURCE; DATABASE,"The human microbiome is increasingly recognized as a key determinant of health and disease, yet methodological variability continues to limit reproducibility and clinical translation of findings. This review synthesizes current approaches in microbiome research, critically evaluating each step from sampling to sequencing and downstream bioinformatics. Pre-analytical factors such as sample type, collection method, preservation, and storage conditions profoundly affect microbial community profiles and remain a major source of bias. Nucleic acid extraction protocols and quality assessment strategies are discussed with emphasis on optimized lysis techniques, contamination controls, and DNA yield evaluation. Advances in sequencing technologies are highlighted, including 16S rRNA amplicon sequencing, shotgun metagenomics, third-generation long-read platforms, and emerging single-cell and minimal-input methods, each with specific advantages and limitations in taxonomic and functional resolution. Bioinformatics pipelines for taxonomic profiling, variant detection, phylogenetic inference, and functional annotation are compared, with attention to widely used reference databases such as RefSeq, GTDB, and SILVA. Integrative multi-omics approaches, including metatranscriptomics, metabolomics, and genome-scale metabolic modeling, are presented as powerful tools for linking microbial community structure to host physiology and disease mechanisms. Despite these advances, the lack of standardized workflows across pre-analytical, sequencing, and computational steps continues to hinder inter-study comparability and biomarker validation. This review aims to provide a methodological framework that highlights both strengths and limitations of current technologies while underlining the need for harmonized protocols to ensure reproducibility and accelerate the translation of microbiome research into clinical practice.","[Ece, Gulfem; Bayindir, Fulya] Izmir City Hosp, Dept Med Microbiol, TR-35540 Izmir, Turkiye; [Aktas, Ahmet] Istanbul Prov Hlth Directorate, Istanbul Publ Hlth Lab 2, TR-34524 Istanbul, Turkiye; [Koyuncu Ozyurt, Ozlem] Akdeniz Univ, Fac Med, Dept Med Microbiol, TR-07070 Antalya, Turkiye; [Demirbakan, Hadiye] Sanko Univ, Fac Med, Dept Med Microbiol, TR-27090 Gaziantep, Turkiye; [Aliskan, Hikmet Eda] Hlth Sci Univ, Adana Fac Med, Dept Microbiol, TR-01790 Adana, Turkiye; [Saglik, Imran] Uludag Univ, Fac Med, Dept Med Microbiol, TR-16059 Bursa, Turkiye; [Zorbozan, Orcun] Bakircay Univ, Fac Med, Dept Med Microbiol, TR-35665 Izmir, Turkiye; [Cetin Duran, Alev; Kula Atik, Tuba] Balikesir Univ, Fac Med, Dept Med Microbiol, TR-10100 Balikesir, Turkiye; [Ugur, Ayse Ruveyda] Konya City Hosp, Dept Med Microbiol, TR-42020 Konya, Turkiye; [Ocal, Duygu] Ankara Univ, Fac Med, Dept Med Microbiol, TR-06230 Ankara, Turkiye; [Uzunoglu, Emel] Giresun Univ, Fac Med, Dept Med Microbiol, TR-28200 Giresun, Turkiye; [Kaya, Esra] Kahramanmaras Necip Fazil City Hosp, Dept Med Microbiol, TR-46100 Kahramanmaras, Turkiye; [Mutlu Sariguzel, Fatma] Erciyes Univ, Fac Med, Dept Med Microbiol, TR-38030 Kayseri, Turkiye; [Yetkin, Gulay] Hlth Sci Univ, Bakirkoy Dr Sadi Konuk Educ & Res Hosp, Hamidiye Fac Med, TR-34140 Istanbul, Turkiye; [Altindis, Mustafa] Sakarya Univ, Fac Med, Dept Med Microbiol, TR-54290 Sakarya, Turkiye; [Yenice Aktas, Sevinc] Onsekiz Mart Univ, Fac Med, Dept Med Microbiol, TR-17020 Canakkale, Turkiye",Akdeniz University; Sanko University; University of Health Sciences Turkey; Adana Numune Training & Research Hospital; Uludag University; Izmir University of Bakircay; Balikesir University; Konya City Hospital; Ankara University; Giresun University; Kahramanmaras Necip Fazil City Hospital; Erciyes University; Bakirkoy Dr. Sadi Konuk Research & Training Hospital; Sakarya University; Canakkale Onsekiz Mart University,"Kaya, Esra/PSM-0146-2026; Altindis, Mustafa/O-8413-2019; /AAE-2282-2021; MUTLU SARIGUZEL, Fatma/KIK-7850-2024; Zorbozan, Orçun/AAU-5762-2020; Terek Ece, Gulfem/IZQ-3909-2023; KOYUNCU OZYURT, OZLEM/HOH-2833-2023; Öcal, Duygu/AAA-3749-2020; Demirbakan, Hadiye/AAU-9168-2021; Uzunoglu-Ozyurek, Emel/M-2007-2017; Aktaş, Ahmet/HKN-9063-2023",173,1,1,3,3,14.0,2,Microbiology,Science Citation Index Expanded (SCI-EXPANDED),Microbiology
"Uckac, B; Ogonowski, NS; García-Marín, LM; Diaz-Torres, S; Farrell, SF; Nyholt, DR; Rentería, ME","Uckac, Bade; Ogonowski, Natalia S.; Garcia-Marin, Luis M.; Diaz-Torres, Santiago; Farrell, Scott F.; Nyholt, Dale R.; Renteria, Miguel E.","Decoding chronic pain: integrating genetics, neuroimaging, and AI for precision management",FRONTIERS IN PAIN RESEARCH,chronic pain; clinical management; epidemiology; genetics; machine learning; neuroimaging,PREVALENCE; COUNTRIES,"Chronic pain is increasingly recognised as a standalone medical condition shaped by interacting biological, psychological, and social determinants, affecting nearly one in three adults worldwide. This review synthesises contemporary evidence on the epidemiology, mechanisms, and management of chronic pain, with emphasis on the convergence of genetic, neurobiological, and psychosocial factors. We draw on recent population-based studies, clinical trials, neuroimaging research, and multi-omic genetic analyses to highlight the complexity and heterogeneity of this condition. Chronic pain disproportionately affects older adults, women, and socioeconomically disadvantaged groups, and frequently co-occurs with psychiatric, cardiovascular, and neurodegenerative disorders, reflecting shared pathways of maladaptive neuroplasticity. Although pharmacological therapies often provide modest long-term benefit, integrated psychological, physiotherapeutic, and interventional approaches demonstrate more sustainable improvements in function and quality of life. Advances in genomics and large-scale genome-wide association studies (GWAS) have revealed extensive polygenic overlap with psychiatric and immune traits, while neuroimaging consistently demonstrates alterations within prefrontal, insular, and limbic circuits that shape pain perception and persistence. Despite reliance on subjective symptom reporting, emerging digital phenotyping, wearables, and AI tools offer promising avenues for objective monitoring and personalised treatment. Integrating biological, behavioural, and environmental data will be essential to achieving truly precision-based chronic pain care.","[Uckac, Bade; Ogonowski, Natalia S.; Garcia-Marin, Luis M.; Diaz-Torres, Santiago; Renteria, Miguel E.] QIMR Berghofer Med Res Inst, Brain & Mental Hlth Program, Brisbane, Qld, Australia; [Uckac, Bade; Nyholt, Dale R.; Renteria, Miguel E.] Queensland Univ Technol, Fac Hlth, Sch Biomed Sci, Brisbane, Qld, Australia; [Ogonowski, Natalia S.; Garcia-Marin, Luis M.; Renteria, Miguel E.] Univ Queensland, Fac Hlth Med & Behav Sci HMBS, Sch Biomed Sci, Brisbane, Qld, Australia; [Ogonowski, Natalia S.] QIMR Berghofer Med Res Inst, Populat Hlth Program, Brisbane, Qld, Australia; [Farrell, Scott F.] Univ Queensland, RECOVER Injury Res Ctr, Brisbane, Qld, Australia; [Farrell, Scott F.] Univ Queensland, NHMRC Ctr Res Excellence Better Hlth Outcomes Comp, Brisbane, Qld, Australia; [Farrell, Scott F.] Univ Queensland, Ctr Innovat Pain & Hlth Res, Brisbane, Qld, Australia; [Farrell, Scott F.] Univ Queensland & Metro North Hlth, Surg Treatment & Rehabil Serv STARS, STARS Educ & Res Alliance, Brisbane, Qld, Australia",QIMR Berghofer Medical Research Institute; Queensland University of Technology (QUT); University of Queensland; QIMR Berghofer Medical Research Institute; University of Queensland; University of Queensland; University of Queensland; University of Queensland,"Farrell, Scott/E-4691-2018; Rentería, Miguel/M-6671-2017; Nyholt, Dale/J-3174-2017; Garcia-Marín, Luis/AAE-3139-2021",69,0,0,5,5,7.0,,Clinical Neurology; Neurosciences,Emerging Sources Citation Index (ESCI),Neurosciences & Neurology
"Ali, SS; Xiong, M; Jiao, HX; Al-Tohamy, R; Sun, JZ","Ali, Sameh S.; Xiong, Min; Jiao, Haixin; Al-Tohamy, Rania; Sun, Jianzhong",Recent advances in plastic waste management: A systems-level framework for circular plastic economy strategies-A state-of-the-art review,JOURNAL OF ENVIRONMENTAL MANAGEMENT,Plastic waste management; Circular economy; Artificial intelligence; Hybrid waste treatment; Fuzzy logic modeling; Systems-level assessment,PYROLYSIS; DEGRADATION; CHALLENGES; PRODUCTS; EMISSION; REDUCE; OXIDES; METAL,"Plastic waste accumulation represents a persistent environmental challenge driven by rapidly increasing polymer production, short product lifecycles, and insufficient end-of-life management. Although the circular economy emphasizes recyclability and material value retention, real-world plastic waste streams are highly heterogeneous, contaminated, and economically constrained, limiting the effectiveness of single-pathway solutions. This review synthesizes recent advances and provides a systems-level assessment of scalable plastic waste management strategies under circular economy constraints, evaluating mechanical, chemical, thermochemical, and biological treatment routes in terms of material circularity, scalability, environmental trade-offs, and deployment limits. Reported studies indicate that artificial intelligence (AI)-assisted sorting systems can achieve classification accuracies exceeding 90-98%, while optimized hybrid recycling and logistics strategies can improve material recovery efficiencies by approximately 20-50% under controlled implementation conditions. Particular attention is given to the conditional role of microbial and enzymatic degradation, where engineered enzymatic and microbial systems have demonstrated 20-60% improvements in degradation performance compared with conventional baseline processes, although these pathways remain unsuitable as universal circular solutions due to kinetic, material, and infrastructural constraints. AI is examined as a cross-cutting enabler that supports waste sorting, process optimization, life-cycle assessment, and decision-making under uncertainty, with fuzzy logic and hybrid AI frameworks highlighted for their robustness in nonlinear and data-scarce waste systems. By synthesizing technological, economic, and policy barriers, the review clarifies key trade-offs between recyclability and degradability and positions energy recovery and biodegradation as complementary, residual pathways within a hierarchy-driven circular economy. Priority research and implementation opportunities are identified, including hybrid bio-thermochemical processing, AI-assisted system integration, standardized performance metrics, and coordinated policy instruments. Overall, this comprehensive review provides a coherent framework for environmentally grounded, data-informed, and scalable plastic waste management, supporting the transition from fragmented approaches toward integrated circular plastic systems.","[Ali, Sameh S.; Xiong, Min; Al-Tohamy, Rania; Sun, Jianzhong] Jiangsu Univ, Biofuels Inst, Sch Environm & Safety Engn, Zhenjiang 212013, Peoples R China; [Ali, Sameh S.] Tanta Univ, Fac Sci, Bot & Microbiol Dept, Tanta 31527, Egypt; [Jiao, Haixin] Yancheng Inst Technol, Sch Environm Sci & Engn, Yancheng 224051, Peoples R China",Jiangsu University; Egyptian Knowledge Bank (EKB); Tanta University; Yancheng Institute of Technology,"Ai, Sameh/R-3018-2019; Jiao, Haixin/KHY-4725-2024",211,0,0,13,13,404.0,,Environmental Sciences,Science Citation Index Expanded (SCI-EXPANDED),Environmental Sciences & Ecology
"Deng, Y; Karako, K; Yamauchi, K; Song, PP","Deng, Yi; Karako, Kenji; Yamauchi, Katsuya; Song, Peipei","Implementation and current status of frailty assessment in Japanese hospitals: Processes, epidemiology, and future directions",BIOSCIENCE TRENDS,Keywords : frailty; frailty screening; hybrid model; community-based comprehensive care system; digital,OLDER-ADULTS; INTERVENTIONS; INDEX,"Frailty has become a pressing health concern in Japan as it has entered a super-aged society. Early identification of frailty is essential to preventing disability, hospitalization, and dependency on long-term care, and yet the implementation of standardized screening across clinical settings remains inconsistent. This review synthesizes current evidence on frailty assessment practices in Japan, highlights key challenges in routine implementation, and examines the potential of emerging digital tools. The feasibility of recent digital innovations - including artificial intelligence analysis of home electricity data, wearable-based mobility monitoring, and EMR-integrated frailty indices - has been demonstrated in pilot settings, though evidence of their large-scale clinical effectiveness remains limited. International comparisons have revealed that countries and regions such as the United Kingdom, Canada, Australia, and Singapore are increasingly implementing electronic frailty indices with policy-level support, offering valuable insights for Japan. Overall, although Japan has made significant progress in recognizing the importance of frailty assessment, substantial gaps remain in standardization, system integration, and clinical implementation. Strengthening national policy frameworks, enhancing workforce training, and accelerating a digital transformation may enable the development of a more comprehensive and scalable frailty-screening system to support healthy aging.","[Deng, Yi] Hamamatsu Univ, Grad Sch Rehabil Med, Sch Med, Hamamatsu, Shizuoka, Japan; [Karako, Kenji] Univ Tokyo, Grad Sch Med, Dept Surg, 7-3-1 Hongo, Tokyo 1138655, Japan; [Yamauchi, Katsuya] Hamamatsu Univ, Sch Med, Dept Rehabil Med, Shizuoka, Japan; [Song, Peipei] Japan Inst Hlth Secur, Natl Coll Nursing, Tokyo, Japan; [Song, Peipei] Japan Inst Hlth Secur, Ctr Clin Sci, 1-21-1 Toyama,Shinjuku Ku, Tokyo 1628655, Japan",Hamamatsu University School of Medicine; University of Tokyo; Hamamatsu University School of Medicine,,50,1,1,0,0,20.0,2,Biology,Science Citation Index Expanded (SCI-EXPANDED),Life Sciences & Biomedicine - Other Topics
"Seripenah, P; Emery, H; Patel, B; Tyrrell, E; Carson, J; Leonardi-Bee, J; Evans, C; Wilson, E; Taggar, J","Seripenah, Princella; Emery, Heidi; Patel, Bakula; Tyrrell, Edward; Carson, Julie; Leonardi-Bee, Jo; Evans, Catrin; Wilson, Emma; Taggar, Jaspal",Use of Digital Technology for Developing Communication Skills in Undergraduate and Postgraduate Medical Education: Scoping Review,JMIR MEDICAL EDUCATION,digital technology; communication skills; medical education; undergraduate training; postgraduate training; doctor-patient communication; virtual simulation; video-based learning; educational technology; scoping review,PHYSICIAN-PATIENT COMMUNICATION; BREAKING BAD-NEWS; SIMULATED PATIENT; ADOLESCENT HEALTH; TRAINING-PROGRAM; PILOT TEST; STUDENTS; RESIDENTS; FEEDBACK; CARE,"Background: Effective doctor-patient communication is fundamental to safe, high-quality health care and is a core competency across undergraduate and postgraduate medical education. Communication skills training (CST) has traditionally relied on workforce-intensive methods such as role-play and standardized patient encounters, which face increasing pressure from rising student numbers, constrained faculty capacity, and growing clinical workloads. Digital technologies offer scalable, flexible alternatives, yet the extent, educational design, and strength of evidence supporting digital CST remain unclear. Objective: This study aimed to comprehensively map the digital technologies used for CST in undergraduate and postgraduate medical education, examine the reported outcomes in the context of educational theory, and identify gaps relevant for future research and clinical practice. Methods: This scoping review followed Joanna Briggs Institute (JBI) methodology and is reported in accordance with PRISMA-ScR (Preferred Reporting Items for Systematic Reviews and Meta-Analyses Extension for Scoping Reviews) guidelines. Four electronic databases (Medline, Embase, CINAHL, ERIC) were searched from inception to January 5, 2026. Eligible studies examined any digital technology used to support active, 2-way CST for undergraduate or postgraduate medical learners. Passive learning approaches were excluded. Data were synthesized descriptively. To support structured interpretation of heterogeneous outcomes, interventions were mapped to Kolb's experiential learning cycle to examine learning processes and to Kirkpatrick's evaluation model to assess depth of educational and translational impact. Results: A total of 11,179 records were identified, of which 121 studies met the inclusion criteria. Most studies were published within the past decade (92/121, 76%) and were conducted in North America and Europe (93/121, 76.9%), with 58.7% (71/121) of studies focusing on undergraduate learners. Recording-based tools (51/121, 41.8%), live stream platforms (33/121, 27%), and virtual patient simulators (32/121, 26.2%) were the most used digital technologies. General communication and history taking was the most frequent topic taught. Only 28.1% (34/121) of studies used validated objective outcome measures. Educationally, digital interventions overwhelmingly supported early stages of experiential learning (120/121, 99.2%), with almost no progression to abstract conceptualization or active experimentation. Outcome evaluation was similarly limited in depth; most studies assessed outcomes at Kirkpatrick Levels 1 and 2. Few studies evaluated behavior change in clinical practice (6/121, 5%) or patient-level outcomes (1/121, 0.8%). A small but growing subset of studies incorporated artificial intelligence, primarily within virtual patient simulators, showing promising but methodologically limited evidence. Conclusions: Although digital CST interventions show promise for supporting early-stage learning outcomes, the evidence is constrained by weak study designs, inconsistent use of validated measures, and minimal real-world evaluation. Current technologies support only initial phases of experiential learning, with no evidence of progression to competency development or translation into improved patient care. For educators investing in digital CST, these technologies should be integrated thoughtfully within broader curricula rather than treated as standalone solutions, accompanied by evaluation extending to clinical outcomes. Future research that prioritizes robust comparative designs evaluating whether digital training meaningfully improves clinical communication and patient care is warranted.","[Seripenah, Princella; Emery, Heidi; Tyrrell, Edward; Carson, Julie; Taggar, Jaspal] Univ Nottingham, Ctr Acad Primary Care, Sch Med, Primary Care Educ Unit, Nottingham, England; [Patel, Bakula] Univ Nottingham, Educ Ctr, Sch Med, Nottingham, England; [Leonardi-Bee, Jo; Wilson, Emma] Univ Nottingham, Ctr Publ Hlth & Epidemiol, Sch Med, Nottingham, England; [Leonardi-Bee, Jo; Evans, Catrin; Wilson, Emma] Univ Nottingham, Fac Med & Hlth Sci, Ctr Evidence Based Healthcare, Nottingham, England; [Taggar, Jaspal] Univ Nottingham, Ctr Acad Primary Care, Queens Med Ctr,Med Sch, Sch Med,Primary Care Educ Unit,Ctr Acad Primary Ca, Room C37,C Floor, Nottingham NG7 2UH, England",University of Nottingham; University of Nottingham; University of Nottingham; University of Nottingham; University of Nottingham,/I-2084-2019,164,0,0,0,0,12.0,,"Education, Scientific Disciplines",Science Citation Index Expanded (SCI-EXPANDED),Education & Educational Research
"Luo, YS; Zhao, XL; Meng, DY","Luo, Yisi; Zhao, Xile; Meng, Deyu","Continuous representation methods, theories, and applications: an overview and perspective",SCIENCE CHINA-INFORMATION SCIENCES,continuous representation; implicit neural representation; tensor decomposition; compressed sensing; optimization; convergence and generalization,IMPLICIT NEURAL REPRESENTATION; MULTILAYER FEEDFORWARD NETWORKS; REGULARIZATION; SUPERRESOLUTION; APPROXIMATION; FRAMEWORK,"Recently, continuous representation methods have emerged as novel paradigms that characterize the intrinsic structures of real-world data through function representations that map positional coordinates to their corresponding values in the continuous space. As compared with the traditional discrete framework, the continuous framework demonstrates inherent superiority for data representation and reconstruction (e.g., image restoration, novel view synthesis, and waveform inversion) by offering inherent advantages including resolution flexibility, cross-modal adaptability, inherent smoothness, and parameter efficiency. In this review, we systematically examine recent advancements in continuous representation frameworks, focusing on three aspects: (i) continuous representation method designs, such as basis function representation, statistical modeling, tensor function decomposition, and implicit neural representation; (ii) theoretical foundations of continuous representations, such as approximation error analysis, convergence property, and implicit regularization; (iii) real-world applications of continuous representations derived from computer vision, graphics, bioinformatics, and remote sensing. Furthermore, we outline future directions and perspectives to inspire exploration and deepen insights to facilitate continuous representation methods, theories, and applications.","[Luo, Yisi; Meng, Deyu] Xi An Jiao Tong Univ, Sch Math & Stat, Key Lab Intelligent Networks & Network Secur, Minist Educ, Xian 710049, Peoples R China; [Zhao, Xile] Univ Elect Sci & Technol China, Sch Math Sci, Chengdu 611731, Peoples R China; [Meng, Deyu] Macau Univ Sci & Technol, Macao Inst Syst Engn, Macau 999078, Peoples R China",Xi'an Jiaotong University; University of Electronic Science & Technology of China; Macau University of Science & Technology,,235,2,2,2,2,69.0,5,"Computer Science, Information Systems; Engineering, Electrical & Electronic",Science Citation Index Expanded (SCI-EXPANDED),Computer Science; Engineering
"Lankada, LB; Prasanna, G; Wasudeo, NG; Subhasri, K; Kumar, GH; Rahimi, M","Lankada, Lakshmi Bhavani; Prasanna, G.; Wasudeo, Narkhede Gopal; Subhasri, Konusothu; Kumar, G. Harish; Rahimi, Mehdi",High throughput phenotyping techniques in accelerated plant breeding,JOURNAL OF CROP SCIENCE AND BIOTECHNOLOGY,Data processing; Genotype-phenotype linkage; HTP; Phenotyping; Remote sensing,UNMANNED AERIAL SYSTEMS; PHENOMICS; PLATFORM; AGRICULTURE; INDEXES; SENSORS,"Plant phenotyping is the science of quantitatively describing the observable characteristics of the plant. It is considered as a reproducing process where, diverting from the usual manual assessments to big data approaches by which morphologi-cal, physiological, and biochemical traits are assessed quantitatively at scale. It is a vital transformation for plant breeding programme, because modern accelerated phenotypic methods such as genomic selection require timely and accurate phe-notypic data. Those older phenotyping techniques are now constrained by the labour-intensive methods and the inaccura-cies that a human may introduce, especially when genetic gains must be realized under climate change and food security threats. Now, High-throughput phenotyping (HTP) methods, aided by new-generation sensors, remote sensing, imaging platforms (hyperspectral, thermal, 3D) and machine learning allows quick non-invasive and precise evaluation of key traits such as yield, disease resistance and tolerance to stresses across diverse environments. AI-based analytical procedures sort the phenotypic data processing, genotype-phenotype linkage, hence helping facilitate selection. This review highlights the evolution of HTP platforms at aerial and ground levels and their integration in building scalable data-driven breeding pipelines for sustainable agricultural progress.","[Lankada, Lakshmi Bhavani; Prasanna, G.; Wasudeo, Narkhede Gopal; Subhasri, Konusothu; Kumar, G. Harish] SR Univ, Sch Agr, Dept Genet & Plant Breeding, Warangal 506371, Telangana, India; [Rahimi, Mehdi] Grad Univ Adv Technol, Inst Sci High Technol & Environm Sci, Dept Biotechnol, Kerman, Iran",Graduate University of Advanced Technology,,109,0,0,4,4,29.0,2,Plant Sciences,Emerging Sources Citation Index (ESCI),Plant Sciences
